Routing Table for Node 0
Destination     Path                                               Path Delay      Path Cost      
7               13 12 5 2 1 7                                      252             19             
8               13 8                                               24              2              
8               13 12 11 8                                         177             7              
9               13 9                                               10              6              
9               13 8 11 9                                          94              10             
10              13 9 10                                            69              14             
10              13 12 5 10                                         121             16             
11              13 8 11                                            64              3              
11              13 12 11                                           137             6              
12              13 12                                              50              1              
12              13 8 11 12                                         151             8              

